store_code,bl3_label,gla,sales_r12m,degree_centrality,weighted_degree,clustering_coeff,norm_weighted_degree,norm_degree_centrality,influence_score
1089051,Family Fashion,2491.0,2011645.896,0.06825106642291286,33965614,0.031578521422330336,1.0,1.0,1.0
1302413,Family Fashion,3735.0,3027882.18,0.056368068251066425,32518457,0.03919380350525276,0.9573934685826672,0.8258928571428572,0.9179432851507241
1302533,Family Fashion,3303.0,1218646.433,0.056368068251066425,31173693,0.03820664021717452,0.9178015448211829,0.8258928571428572,0.8902289385176851
1093829,Family Fashion,2150.6,860420.252,0.06825106642291286,28623274,0.028615804082104644,0.8427132805548576,1.0,0.8898992963884003
1090732,Family Fashion,1230.6,715375.44,0.06825106642291286,27721848,0.027822721806900045,0.8161739104731037,1.0,0.8713217373311726
1088451,Family Fashion,2421.7,870710.49,0.06825106642291286,27695693,0.028032559805257255,0.8154038669814713,1.0,0.8707827068870297
1302402,Women's Fashion,799.0,865655.973,0.056368068251066425,27205266,0.03511274243993579,0.8009649406013977,0.8258928571428572,0.8084433155638355
1093131,Family Fashion,4120.19,1396529.966,0.06185252894576478,25705676,0.03040392249364395,0.7568147008913191,0.9062500000000001,0.8016452906239233
1089257,Women's Fashion,430.6,267012.286,0.06825106642291286,24311476,0.02553125889551243,0.715767305133951,1.0,0.8010371135937657
1302393,Family Fashion,874.0,564184.365,0.056368068251066425,26350022,0.03412787817389806,0.7757852397427587,0.8258928571428572,0.7908175249627882
